time,H_1,H_2,H_3,cry_1,cry_2,cry_3,disloc_density,disp_x,disp_y,disp_z,fp_yy,gd_0,gd_1,gd_10,gd_11,gd_12,gd_13,gd_14,gd_15,gd_16,gd_17,gd_18,gd_19,gd_2,gd_20,gd_21,gd_22,gd_23,gd_24,gd_25,gd_26,gd_27,gd_28,gd_29,gd_3,gd_30,gd_31,gd_32,gd_33,gd_34,gd_35,gd_36,gd_37,gd_38,gd_39,gd_4,gd_40,gd_41,gd_42,gd_43,gd_44,gd_45,gd_46,gd_47,gd_5,gd_6,gd_7,gd_8,gd_9,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_12,slip_increment_13,slip_increment_14,slip_increment_15,slip_increment_16,slip_increment_17,slip_increment_18,slip_increment_19,slip_increment_2,slip_increment_20,slip_increment_21,slip_increment_22,slip_increment_23,slip_increment_24,slip_increment_25,slip_increment_26,slip_increment_27,slip_increment_28,slip_increment_29,slip_increment_3,slip_increment_30,slip_increment_31,slip_increment_32,slip_increment_33,slip_increment_34,slip_increment_35,slip_increment_36,slip_increment_37,slip_increment_38,slip_increment_39,slip_increment_4,slip_increment_40,slip_increment_41,slip_increment_42,slip_increment_43,slip_increment_44,slip_increment_45,slip_increment_46,slip_increment_47,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,slip_resistance_0,slip_resistance_1,slip_resistance_10,slip_resistance_11,slip_resistance_12,slip_resistance_13,slip_resistance_14,slip_resistance_15,slip_resistance_16,slip_resistance_17,slip_resistance_18,slip_resistance_19,slip_resistance_2,slip_resistance_20,slip_resistance_21,slip_resistance_22,slip_resistance_23,slip_resistance_24,slip_resistance_25,slip_resistance_26,slip_resistance_27,slip_resistance_28,slip_resistance_29,slip_resistance_3,slip_resistance_30,slip_resistance_31,slip_resistance_32,slip_resistance_33,slip_resistance_34,slip_resistance_35,slip_resistance_36,slip_resistance_37,slip_resistance_38,slip_resistance_39,slip_resistance_4,slip_resistance_40,slip_resistance_41,slip_resistance_42,slip_resistance_43,slip_resistance_44,slip_resistance_45,slip_resistance_46,slip_resistance_47,slip_resistance_5,slip_resistance_6,slip_resistance_7,slip_resistance_8,slip_resistance_9,sliprate,strain_eff,strain_shear,strain_yy,stress_vm,stress_xx,stress_yy,stress_zz,total_twin_volume_fraction
6.25e-08,811265135.74362,805324496.14473,808299257.00055,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,5.0860999046138e-09,1.875e-08,5.3285536413701e-09,1,498.75372732206,498.75372732206,498.44987969835,498.44987969835,497.76797432891,497.97883127602,497.78141194756,498.62090230829,498.3398004054,497.95592829312,498.02692808907,498.94553881374,497.76682613857,498.06506501049,497.94338479223,497.58878730589,498.76661622855,497.84818703832,497.91692598255,497.99799863084,498.60665858124,498.17091804825,497.98437799374,497.76682613857,498.18523489163,498.82931003815,497.68960889472,498.09372968121,497.63229893734,498.57591354773,498.51382869482,497.90053883276,497.89144135372,498.96318933452,497.58835712602,497.83074047614,498.09306413189,497.56396155213,498.65483353734,498.33046403,497.83013192679,497.63871057187,498.82056784446,497.58835712602,498.37453345958,498.37453345958,497.95751528526,497.95751528526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.2762562901,623.2762562901,622.97240866639,622.97240866639,622.29050329694,622.50136024406,622.3039409156,623.14343127632,622.86232937343,622.47845726116,622.54945705711,623.46806778178,622.2893551066,622.58759397853,622.46591376027,622.11131627393,623.28914519659,622.37071600635,622.43945495058,622.52052759888,623.12918754928,622.69344701629,622.50690696178,622.2893551066,622.70776385966,623.35183900619,622.21213786276,622.61625864924,622.15482790537,623.09844251576,623.03635766285,622.4230678008,622.41397032175,623.48571830256,622.11088609406,622.35326944417,622.61559309992,622.08649052016,623.17736250537,622.85299299804,622.35266089482,622.16123953991,623.3430968125,622.11088609406,622.89706242762,622.89706242762,622.48004425329,622.48004425329,0,7.1496832990674e-06,4.5424409186328e-06,6.2499783245151e-06,1.3941218105575,-1.514714562859e-07,1.350098740313,-1.9401587121874e-07,1e-06
1.875e-07,811265135.74362,805324496.14473,808299257.00055,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,1.5002713871152e-08,5.625e-08,1.6609287155904e-08,1,498.75372732206,498.75372732206,498.44987969835,498.44987969835,497.76797432891,497.97883127602,497.78141194756,498.62090230829,498.3398004054,497.95592829312,498.02692808907,498.94553881374,497.76682613857,498.06506501049,497.94338479223,497.58878730589,498.76661622855,497.84818703832,497.91692598255,497.99799863084,498.60665858124,498.17091804825,497.98437799374,497.76682613857,498.18523489163,498.82931003815,497.68960889472,498.09372968121,497.63229893734,498.57591354773,498.51382869482,497.90053883276,497.89144135372,498.96318933452,497.58835712602,497.83074047614,498.09306413189,497.56396155213,498.65483353734,498.33046403,497.83013192679,497.63871057187,498.82056784446,497.58835712602,498.37453345958,498.37453345958,497.95751528526,497.95751528526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.2762562901,623.2762562901,622.97240866639,622.97240866639,622.29050329695,622.50136024406,622.3039409156,623.14343127633,622.86232937343,622.47845726116,622.54945705711,623.46806778178,622.2893551066,622.58759397853,622.46591376027,622.11131627393,623.28914519659,622.37071600635,622.43945495058,622.52052759888,623.12918754928,622.69344701629,622.50690696178,622.2893551066,622.70776385967,623.35183900619,622.21213786276,622.61625864924,622.15482790537,623.09844251576,623.03635766285,622.4230678008,622.41397032175,623.48571830256,622.11088609406,622.35326944417,622.61559309992,622.08649052016,623.17736250537,622.85299299804,622.35266089482,622.16123953991,623.3430968125,622.11088609406,622.89706242762,622.89706242762,622.48004425329,622.48004425329,0,2.1448949357633e-05,1.3627283600771e-05,1.8749804922573e-05,4.1824879092343,-1.411145791807e-06,4.0504198349201,-1.691892297095e-06,1e-06
4.375e-07,811265135.74362,805324496.14473,808299257.00055,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,3.4167388953881e-08,1.3125e-07,3.8808293599134e-08,1,498.75372732206,498.75372732206,498.44987969835,498.44987969835,497.76797432891,497.97883127602,497.78141194756,498.62090230829,498.3398004054,497.95592829312,498.02692808907,498.94553881374,497.76682613857,498.06506501049,497.94338479223,497.58878730589,498.76661622855,497.84818703832,497.91692598255,497.99799863084,498.60665858124,498.17091804825,497.98437799374,497.76682613857,498.18523489163,498.82931003815,497.68960889472,498.09372968121,497.63229893734,498.57591354773,498.51382869482,497.90053883276,497.89144135372,498.96318933452,497.58835712602,497.83074047614,498.09306413189,497.56396155213,498.65483353734,498.33046403,497.83013192679,497.63871057187,498.82056784446,497.58835712602,498.37453345958,498.37453345958,497.95751528526,497.95751528526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.2762562901,623.2762562901,622.97240866639,622.97240866639,622.29050329694,622.50136024406,622.3039409156,623.14343127632,622.86232937343,622.47845726116,622.54945705711,623.46806778178,622.2893551066,622.58759397853,622.46591376027,622.11131627393,623.28914519659,622.37071600635,622.43945495058,622.52052759888,623.12918754928,622.69344701629,622.50690696178,622.2893551066,622.70776385967,623.35183900619,622.21213786276,622.61625864924,622.15482790537,623.09844251576,623.03635766285,622.4230678008,622.41397032175,623.48571830256,622.11088609406,622.35326944417,622.61559309992,622.08649052016,623.17736250537,622.85299299804,622.35266089482,622.16123953991,623.3430968125,622.11088609406,622.89706242762,622.89706242762,622.48004425329,622.48004425329,0,5.0047079551899e-05,3.1796812779995e-05,4.3748937922702e-05,9.7597100977355,-7.5881849127126e-06,9.4515565153951,-9.3432327846292e-06,1e-06
6.875e-07,811265135.74362,805324496.14473,808299257.00055,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,5.2855276485301e-08,2.0625e-07,6.3139220408483e-08,1,498.75372732206,498.75372732206,498.44987969835,498.44987969835,497.76797432891,497.97883127602,497.78141194756,498.62090230829,498.3398004054,497.95592829312,498.02692808907,498.94553881374,497.76682613857,498.06506501049,497.94338479223,497.58878730589,498.76661622855,497.84818703832,497.91692598255,497.99799863084,498.60665858124,498.17091804825,497.98437799374,497.76682613857,498.18523489163,498.82931003815,497.68960889472,498.09372968121,497.63229893734,498.57591354773,498.51382869482,497.90053883276,497.89144135372,498.96318933453,497.58835712602,497.83074047614,498.09306413189,497.56396155213,498.65483353734,498.33046403,497.83013192679,497.63871057187,498.82056784446,497.58835712602,498.37453345958,498.37453345958,497.95751528526,497.95751528526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.2762562901,623.2762562901,622.97240866639,622.97240866639,622.29050329694,622.50136024406,622.3039409156,623.14343127633,622.86232937343,622.47845726116,622.54945705711,623.46806778178,622.2893551066,622.58759397853,622.46591376027,622.11131627393,623.28914519659,622.37071600635,622.43945495058,622.52052759888,623.12918754928,622.69344701629,622.50690696178,622.2893551066,622.70776385967,623.35183900619,622.21213786276,622.61625864924,622.15482790537,623.09844251576,623.03635766285,622.4230678008,622.41397032175,623.48571830256,622.11088609406,622.35326944417,622.61559309992,622.08649052016,623.17736250537,622.85299299804,622.35266089482,622.16123953991,623.3430968125,622.11088609406,622.89706242762,622.89706242762,622.48004425329,622.48004425329,0,7.8644674332651e-05,4.9966133937994e-05,6.8747377389562e-05,15.337585545581,-1.8691353617642e-05,14.853352464603,-2.3159230412024e-05,1e-06
9.375e-07,811265135.74362,805324496.14473,808299257.00055,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,7.2942132685442e-08,2.8125e-07,8.6508204343429e-08,1,498.75372732206,498.75372732206,498.44987969835,498.44987969835,497.76797432891,497.97883127602,497.78141194756,498.62090230829,498.3398004054,497.95592829312,498.02692808907,498.94553881374,497.76682613857,498.06506501049,497.94338479223,497.58878730589,498.76661622855,497.84818703832,497.91692598255,497.99799863084,498.60665858124,498.17091804825,497.98437799374,497.76682613857,498.18523489163,498.82931003815,497.68960889472,498.09372968121,497.63229893734,498.57591354773,498.51382869482,497.90053883276,497.89144135372,498.96318933452,497.58835712602,497.83074047614,498.09306413189,497.56396155213,498.65483353734,498.33046403,497.83013192679,497.63871057187,498.82056784446,497.58835712602,498.37453345958,498.37453345958,497.95751528526,497.95751528526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.2762562901,623.2762562901,622.97240866639,622.97240866639,622.29050329694,622.50136024406,622.3039409156,623.14343127633,622.86232937343,622.47845726116,622.54945705711,623.46806778178,622.2893551066,622.58759397853,622.46591376027,622.11131627393,623.28914519659,622.37071600635,622.43945495058,622.52052759888,623.12918754928,622.69344701629,622.50690696178,622.2893551066,622.70776385967,623.35183900619,622.21213786276,622.61625864924,622.15482790537,623.09844251576,623.03635766285,622.4230678008,622.41397032175,623.48571830256,622.11088609406,622.35326944417,622.61559309992,622.08649052016,623.17736250537,622.85299299804,622.35266089482,622.16123953991,623.3430968125,622.11088609406,622.89706242762,622.89706242762,622.48004425329,622.48004425329,0,0.00010724173311157,6.8135246555098e-05,9.3745123364307e-05,20.916114389967,-3.4736872752057e-05,20.25580782668,-4.3091108589946e-05,1e-06
1.1875e-06,811265135.74362,805324496.14473,808299257.00055,0.2913357762414,0.17305285692813,-0.065348243810965,20000000,9.3130521789192e-08,3.5625e-07,1.0894034432573e-07,1,498.75372732206,498.75372732206,498.44987969835,498.44987969835,497.76797432891,497.97883127602,497.78141194756,498.62090230829,498.3398004054,497.95592829312,498.02692808907,498.94553881374,497.76682613857,498.06506501049,497.94338479223,497.58878730589,498.76661622855,497.84818703832,497.91692598255,497.99799863084,498.60665858124,498.17091804825,497.98437799374,497.76682613857,498.18523489163,498.82931003815,497.68960889472,498.09372968121,497.63229893734,498.57591354773,498.51382869482,497.90053883276,497.89144135372,498.96318933452,497.58835712602,497.83074047614,498.09306413189,497.56396155213,498.65483353734,498.33046403,497.83013192679,497.63871057187,498.82056784446,497.58835712602,498.37453345958,498.37453345958,497.95751528526,497.95751528526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.2762562901,623.2762562901,622.97240866639,622.97240866639,622.29050329694,622.50136024406,622.3039409156,623.14343127633,622.86232937343,622.47845726116,622.54945705711,623.46806778178,622.2893551066,622.58759397853,622.46591376027,622.11131627393,623.28914519659,622.37071600635,622.43945495058,622.52052759888,623.12918754928,622.69344701629,622.50690696178,622.2893551066,622.70776385967,623.35183900619,622.21213786276,622.61625864924,622.15482790537,623.09844251576,623.03635766285,622.4230678008,622.41397032175,623.48571830256,622.11088609406,622.35326944417,622.61559309992,622.08649052016,623.17736250537,622.85299299804,622.35266089482,622.16123953991,623.3430968125,622.11088609406,622.89706242762,622.89706242762,622.48004425329,622.48004425329,0,0.00013583825649751,8.6304151248664e-05,0.00011874217588799,26.495296650012,-5.578579355473e-05,25.658922581061,-6.9134570929773e-05,1e-06
1.4375e-06,811265135.74362,805324496.14473,808299257.00055,0.2913357762414,0.17305285692813,-0.065348243810965,20000000,1.1260344753746e-07,4.3125e-07,1.2955056823664e-07,1,498.75372732206,498.75372732206,498.44987969835,498.44987969835,497.76797432891,497.97883127602,497.78141194756,498.62090230829,498.3398004054,497.95592829312,498.02692808907,498.94553881374,497.76682613857,498.06506501049,497.94338479223,497.58878730589,498.76661622855,497.84818703832,497.91692598255,497.99799863084,498.60665858124,498.17091804825,497.98437799374,497.76682613857,498.18523489163,498.82931003815,497.68960889472,498.09372968121,497.63229893734,498.57591354773,498.51382869482,497.90053883276,497.89144135372,498.96318933452,497.58835712602,497.83074047614,498.09306413189,497.56396155213,498.65483353734,498.33046403,497.83013192679,497.63871057187,498.82056784446,497.58835712602,498.37453345958,498.37453345958,497.95751528526,497.95751528526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.2762562901,623.2762562901,622.97240866639,622.97240866639,622.29050329694,622.50136024406,622.3039409156,623.14343127633,622.86232937343,622.47845726116,622.54945705711,623.46806778178,622.2893551066,622.58759397853,622.46591376027,622.11131627393,623.28914519659,622.37071600635,622.43945495058,622.52052759888,623.12918754928,622.69344701629,622.50690696178,622.2893551066,622.70776385967,623.35183900619,622.21213786276,622.61625864924,622.15482790537,623.09844251576,623.03635766285,622.4230678008,622.41397032175,623.48571830256,622.11088609406,622.35326944417,622.61559309992,622.08649052016,623.17736250537,622.85299299804,622.35266089482,622.16123953991,623.3430968125,622.11088609406,622.89706242762,622.89706242762,622.48004425329,622.48004425329,0,0.00016443427587194,0.00010447278290878,0.00014373853500867,32.075086148451,-8.1643186797778e-05,31.062693712585,-0.00010140462010806,1e-06
1.6875e-06,811265135.74362,805324496.14473,808299257.00055,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,1.3189856722561e-07,5.0625e-07,1.5168131505187e-07,1,498.75372732206,498.75372732206,498.44987969835,498.44987969835,497.76797432891,497.97883127602,497.78141194756,498.62090230829,498.3398004054,497.95592829312,498.02692808907,498.94553881374,497.76682613857,498.06506501049,497.94338479223,497.58878730589,498.76661622855,497.84818703832,497.91692598255,497.99799863084,498.60665858124,498.17091804825,497.98437799374,497.76682613857,498.18523489163,498.82931003815,497.68960889472,498.09372968121,497.63229893734,498.57591354773,498.51382869482,497.90053883276,497.89144135372,498.96318933452,497.58835712602,497.83074047614,498.09306413189,497.56396155213,498.65483353734,498.33046403,497.83013192679,497.63871057187,498.82056784446,497.58835712602,498.37453345958,498.37453345958,497.95751528526,497.95751528526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.2762562901,623.2762562901,622.97240866639,622.97240866639,622.29050329694,622.50136024406,622.3039409156,623.14343127633,622.86232937343,622.47845726116,622.54945705711,623.46806778178,622.2893551066,622.58759397853,622.46591376027,622.11131627393,623.28914519659,622.37071600635,622.43945495058,622.52052759888,623.12918754928,622.69344701629,622.50690696178,622.2893551066,622.70776385967,623.35183900619,622.21213786276,622.61625864924,622.15482790537,623.09844251576,623.03635766285,622.4230678008,622.41397032175,623.48571830256,622.11088609406,622.35326944417,622.61559309992,622.08649052016,623.17736250537,622.85299299804,622.35266089482,622.16123953991,623.3430968125,622.11088609406,622.89706242762,622.89706242762,622.48004425329,622.48004425329,0,0.00019302973351041,0.00012264125976406,0.00016873420075627,37.655567350313,-0.00011258907446479,36.467126925191,-0.00013968560987209,1e-06
1.9375e-06,811265135.74362,805324496.14473,808299257.00055,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,1.5157958930617e-07,5.8125e-07,1.7340761499281e-07,1,498.75372732206,498.75372732206,498.44987969835,498.44987969835,497.76797432891,497.97883127602,497.78141194756,498.62090230829,498.3398004054,497.95592829312,498.02692808907,498.94553881374,497.76682613857,498.06506501049,497.94338479223,497.58878730589,498.76661622855,497.84818703832,497.91692598255,497.99799863084,498.60665858125,498.17091804825,497.98437799374,497.76682613857,498.18523489163,498.82931003815,497.68960889472,498.09372968121,497.63229893734,498.57591354773,498.51382869482,497.90053883276,497.89144135372,498.96318933452,497.58835712602,497.83074047614,498.09306413189,497.56396155213,498.65483353734,498.33046403,497.83013192679,497.63871057187,498.82056784446,497.58835712602,498.37453345958,498.37453345958,497.95751528526,497.95751528526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.2762562901,623.2762562901,622.97240866639,622.97240866639,622.29050329694,622.50136024406,622.3039409156,623.14343127633,622.86232937343,622.47845726116,622.54945705711,623.46806778178,622.2893551066,622.58759397853,622.46591376027,622.11131627393,623.28914519659,622.37071600635,622.43945495058,622.52052759888,623.12918754928,622.69344701629,622.50690696178,622.2893551066,622.70776385967,623.35183900619,622.21213786276,622.61625864924,622.15482790537,623.09844251576,623.03635766285,622.4230678008,622.41397032175,623.48571830256,622.11088609406,622.35326944417,622.61559309992,622.08649052016,623.17736250537,622.85299299804,622.35266089482,622.16123953991,623.3430968125,622.11088609406,622.89706242762,622.89706242762,622.48004425329,622.48004425329,0,0.00022162474753683,0.00014080959776612,0.00019372917319276,43.236704753031,-0.00014839428463539,41.872216437188,-0.00018421268570731,1e-06
2.1875e-06,811265135.74362,805324496.14473,808299257.00055,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,1.7232833794328e-07,6.5625e-07,1.9596694844486e-07,1,498.75372732206,498.75372732206,498.44987969835,498.44987969835,497.76797432891,497.97883127602,497.78141194756,498.62090230829,498.3398004054,497.95592829312,498.02692808907,498.94553881374,497.76682613857,498.06506501049,497.94338479223,497.58878730589,498.76661622855,497.84818703832,497.91692598255,497.99799863084,498.60665858124,498.17091804825,497.98437799374,497.76682613857,498.18523489163,498.82931003815,497.68960889472,498.09372968121,497.63229893734,498.57591354773,498.51382869482,497.90053883276,497.89144135372,498.96318933453,497.58835712602,497.83074047614,498.09306413189,497.56396155213,498.65483353734,498.33046403,497.83013192679,497.63871057187,498.82056784446,497.58835712602,498.37453345958,498.37453345958,497.95751528526,497.95751528526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.2762562901,623.2762562901,622.97240866639,622.97240866639,622.29050329694,622.50136024406,622.3039409156,623.14343127633,622.86232937343,622.47845726116,622.54945705711,623.46806778178,622.2893551066,622.58759397853,622.46591376027,622.11131627393,623.28914519659,622.37071600635,622.43945495058,622.52052759888,623.12918754928,622.69344701629,622.50690696178,622.2893551066,622.70776385967,623.35183900619,622.21213786276,622.61625864924,622.15482790537,623.09844251576,623.03635766285,622.4230678008,622.41397032176,623.48571830256,622.11088609406,622.35326944417,622.61559309992,622.08649052016,623.17736250537,622.85299299804,622.35266089482,622.16123953991,623.3430968125,622.11088609406,622.89706242762,622.89706242762,622.48004425329,622.48004425329,0,0.00025021914885752,0.00015897766893057,0.00021872345233093,48.81849387645,-0.00018920330659511,47.277968642235,-0.00023466850450606,1e-06
