time,H_1,H_2,H_3,cry_1,cry_2,cry_3,disloc_density,disp_x,disp_y,disp_z,fp_yy,gd_0,gd_1,gd_10,gd_11,gd_2,gd_3,gd_4,gd_5,gd_6,gd_7,gd_8,gd_9,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_2,slip_increment_3,slip_increment_4,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,slip_resistance_0,slip_resistance_1,slip_resistance_10,slip_resistance_11,slip_resistance_2,slip_resistance_3,slip_resistance_4,slip_resistance_5,slip_resistance_6,slip_resistance_7,slip_resistance_8,slip_resistance_9,sliprate,strain_eff,strain_shear,strain_yy,stress_vm,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,total_twin_volume,twin_slip_increment_0,twin_slip_increment_1,twin_slip_increment_10,twin_slip_increment_11,twin_slip_increment_2,twin_slip_increment_3,twin_slip_increment_4,twin_slip_increment_5,twin_slip_increment_6,twin_slip_increment_7,twin_slip_increment_8,twin_slip_increment_9,twin_twin_system_volume_fraction_0,twin_twin_system_volume_fraction_1,twin_twin_system_volume_fraction_10,twin_twin_system_volume_fraction_11,twin_twin_system_volume_fraction_2,twin_twin_system_volume_fraction_3,twin_twin_system_volume_fraction_4,twin_twin_system_volume_fraction_5,twin_twin_system_volume_fraction_6,twin_twin_system_volume_fraction_7,twin_twin_system_volume_fraction_8,twin_twin_system_volume_fraction_9
2.5e-06,1801.4287270575,1862.5592453996,1847.1231386539,0.97741707853608,0.97723458413469,0.99981571212164,20000000,2.1933698016875e-07,7.3415427323676e-07,1.6717997240983e-07,1,0.74578959716851,0.74578959716851,0.6545259500377,0.6545259500377,0.74578959716851,0.68016873916234,0.68016873916234,0.68016873916234,0.76612118488696,0.76612118488696,0.76612118488696,0.6545259500377,7.856089060008e-22,8.9772146277017e-36,1.7260298974113e-34,-4.7170686198071e-24,-8.8643702308024e-24,-1.1497760197205e-25,-6.0590204896549e-40,-3.9368082876824e-24,-1.4164049664705e-25,-5.8480195747216e-38,-1.0516384671631e-23,9.0652159173998e-22,334.4683185652,334.4683185652,334.37705491807,334.37705491807,334.4683185652,334.4026977072,334.4026977072,334.4026977072,334.48865015292,334.48865015292,334.48865015292,334.37705491807,0,0.00028506159867338,0.00017578796470352,0.00024996718364534,37.24919672092,4.8546646155919e-07,9.4756940805972e-08,-8.6916749686879e-08,37.249197289662,4.9292173720891e-07,7.6913487063406e-07,8.2050522208724e-25,2.3881546619655e-32,0,0,1.9900630386657e-25,3.7615000847916e-25,5.1396835746921e-28,0,1.0177366325464e-32,2.3688069925214e-27,0,3.7856365317537e-33,1.7662791259484e-31,3.3773607119961e-32,0,0,2.8143741392584e-25,5.3195644347799e-25,7.2686102176358e-28,0,1.439296948671e-32,3.349998975468e-27,0,5.3536985254211e-33,2.4978958948527e-31
5e-06,1801.4287270575,1862.5592453996,1847.1231386539,0.97741707853608,0.97723458413469,0.99981571212164,20000000,4.3862393631666e-07,1.4683158361545e-06,3.3436562841321e-07,1,0.74578959716851,0.74578959716851,0.6545259500377,0.6545259500377,0.74578959716851,0.68016873916234,0.68016873916234,0.68016873916234,0.76612118488696,0.76612118488696,0.76612118488696,0.6545259500377,8.2695790863727e-16,9.523093064729e-30,1.8306648855938e-28,-4.9546894217442e-18,-9.3128457852933e-18,-1.2060593608874e-19,-6.4030263904178e-34,-4.1344796578605e-18,-1.4860341802642e-19,-6.183372480011e-32,-1.1049961293011e-17,9.5432455006393e-16,334.4683185652,334.4683185652,334.37705491807,334.37705491807,334.4683185652,334.4026977072,334.4026977072,334.4026977072,334.48865015292,334.48865015292,334.48865015292,334.37705491807,1.7397969564591e-21,0.00057008772968032,0.00035156791547153,0.00049986880067937,74.542234337255,5.4067051507301e-07,1.5340726813036e-06,-5.2283298920282e-08,74.542234647229,2.4370987784753e-06,1.0156328020656e-06,8.6811468920539e-19,2.4980049273016e-26,0,0,2.0975042579728e-19,3.9654104941133e-19,5.4024488067239e-22,0,1.065678472299e-26,2.4915255794423e-21,0,3.961991996366e-27,1.8496445895425e-25,3.5327158244254e-26,0,0,2.9663217831346e-19,5.6079426207161e-19,7.6402236411055e-22,0,1.5070983879512e-26,3.5235526154458e-21,0,5.603108168973e-27,2.6157949619969e-25
7.5e-06,1801.4287270575,1862.5592453996,1847.1231386539,0.97741707853608,0.97723458413469,0.99981571212164,20000000,6.5786139389118e-07,2.2024846679269e-06,5.0155664748936e-07,1,0.74578959716851,0.74578959716851,0.6545259500377,0.6545259500377,0.74578959716851,0.68016873916234,0.68016873916234,0.68016873916234,0.76612118488696,0.76612118488696,0.76612118488696,0.6545259500377,2.7604861122659e-12,3.203601867165e-26,6.1573766487705e-25,-1.650388838078e-14,-3.1027254047881e-14,-4.0119084239155e-16,-2.1458112883722e-30,-1.3769649421151e-14,-4.9442138655893e-16,-2.0733338093675e-28,-3.6819816453257e-14,3.1859527212719e-12,334.4683185652,334.4683185652,334.37705491807,334.37705491807,334.4683185652,334.4026977072,334.4026977072,334.4026977072,334.48865015292,334.48865015292,334.48865015292,334.37705491807,1.838024809281e-15,0.00085507844687118,0.00052733987666223,0.00074970488554737,111.8791465398,5.787256176186e-07,2.4323706162535e-07,1.0580857474258e-07,111.87914566241,-1.8434792340597e-07,8.231586072277e-07,2.9135734164073e-15,8.2861176157806e-23,0,0,7.0107328162545e-16,1.3256853962426e-15,1.8008167649915e-18,0,3.5387238531355e-23,8.3105044387125e-18,0,1.3149728643671e-23,6.1425206481194e-22,1.172187262748e-22,0,0,9.9176397527043e-16,1.8753630610683e-15,2.547503514764e-18,0,5.0060183649853e-23,1.1756351640004e-17,0,1.8602127697574e-23,8.6894518026892e-22
1e-05,1801.4287270575,1862.5592453996,1847.1231386539,0.97741707853608,0.97723458413469,0.99981571212164,20000000,8.7705145752324e-07,2.936660746411e-06,6.6875201638208e-07,1,0.7457895971685,0.7457895971685,0.6545259500377,0.6545259500377,0.7457895971685,0.68016873916234,0.68016873916234,0.68016873916234,0.76612118488696,0.76612118488696,0.76612118488696,0.6545259500377,8.7385151520121e-10,1.0220059021708e-23,1.963960232893e-22,-5.2132251437287e-12,-9.8028880918562e-12,-1.2655638049519e-13,-6.8195001191934e-28,-4.3488596512503e-12,-1.5599700492258e-13,-6.5926769577304e-26,-1.1634618417927e-11,1.0086311616343e-09,334.4683185652,334.4683185652,334.37705491807,334.37705491807,334.4683185652,334.4026977072,334.4026977072,334.4026977072,334.48865015292,334.48865015292,334.48865015292,334.37705491807,6.157819012699e-12,0.0011400337956163,0.00070310387270344,0.00099947547268589,149.25996933108,-9.8758118823647e-10,-8.7898825550848e-11,-4.1055403793648e-11,149.2599655927,5.1095527390567e-11,-8.8580714976373e-10,9.2966551719417e-13,2.6065198472052e-20,0,0,2.2221543331818e-13,4.2028358461473e-13,5.6924461980048e-16,0,1.1143428478649e-20,2.6286854522596e-15,0,4.1387823843229e-21,1.9344405844712e-19,3.6978975911397e-20,0,0,3.1525184354246e-13,5.96246108466e-13,8.0758096514452e-16,0,1.580924786949e-20,3.7292789694384e-15,0,5.8717243073179e-21,2.7444015619668e-19
1.125e-05,1801.4287270574,1862.5592453992,1847.1231386536,0.97741707853608,0.97723458413469,0.99981571212164,20000000,9.8661374229853e-07,3.3037514974381e-06,7.5235328205312e-07,1,0.74578959716841,0.74578959716841,0.6545259500376,0.6545259500376,0.74578959716841,0.68016873916231,0.68016873916231,0.68016873916231,0.76612118488694,0.76612118488694,0.76612118488694,0.6545259500376,9.2326604062003e-09,1.0839896689525e-22,2.0828818533718e-21,-5.502117745333e-11,-1.0347195526872e-10,-1.334793482367e-12,-7.2193390522889e-27,-4.589495769636e-11,-1.6454672620711e-12,-6.9810594588362e-25,-1.2281478137362e-10,1.0657174243878e-08,334.4683185652,334.4683185652,334.37705491807,334.37705491807,334.4683185652,334.4026977072,334.4026977072,334.4026977072,334.48865015292,334.48865015292,334.48865015292,334.37705491807,1.956361811259e-09,0.0012824982282335,0.0007909828941547,0.0011243362231449,167.96685797755,8.266655369198e-08,4.2148733612094e-07,-2.1307637267314e-08,167.96685277625,6.6099251065688e-07,1.5284593136685e-07,5.8379460666996e-12,1.3726185447861e-19,0,0,1.1746617684056e-12,2.2219103640883e-12,3.0050168854749e-15,0,5.8713631767978e-20,1.3881211263629e-14,0,2.1801410604167e-20,1.0192800262075e-18,2.3109655211154e-19,0,0,1.9764744476229e-12,3.738501879737e-12,5.0573165997433e-15,0,9.8842862211945e-20,2.3360276200629e-14,0,3.6703574862595e-20,1.7159197931153e-18
1.25e-05,1801.4287270556,1862.559245395,1847.1231386507,0.97741707853608,0.97723458413469,0.99981571212164,20000000,1.0961635961413e-06,3.6708440558866e-06,8.3595603717354e-07,1.0000000000001,0.7457895971674,0.7457895971674,0.65452595003656,0.65452595003656,0.7457895971674,0.68016873916201,0.68016873916201,0.68016873916201,0.76612118488669,0.76612118488669,0.76612118488669,0.65452595003656,7.6087878034586e-08,8.9680204837779e-22,1.7230433335403e-20,-4.5295260667737e-10,-8.5190431968259e-10,-1.0981048862706e-11,-5.9613132141085e-26,-3.7779311086214e-10,-1.3538232037008e-11,-5.7660773044932e-24,-1.0112270866673e-09,8.7831671795387e-08,334.4683185652,334.4683185652,334.37705491807,334.37705491807,334.4683185652,334.4026977072,334.4026977072,334.4026977072,334.48865015292,334.48865015292,334.48865015292,334.37705491807,2.0707259392377e-08,0.0014249538379642,0.00087885993342328,0.001249180612042,186.68473718547,7.806655388152e-08,4.1006846161198e-07,-2.0481378304618e-08,186.68473000579,6.5355453901384e-07,1.4845345701798e-07,4.6391055794844e-11,1.1276349393848e-18,0,0,9.6868101066694e-12,1.8324832657642e-11,2.4747096668133e-14,0,4.826021798759e-19,1.1435247989236e-13,0,1.7915408722506e-19,8.3784112470327e-18,1.8258131767952e-18,0,0,1.5675692676608e-11,2.9653728752392e-11,4.0054996337175e-14,0,7.8134541022326e-19,1.850791041554e-13,0,2.9006571477085e-19,1.3564782609808e-17
1.375e-05,1801.428727041,1862.5592453604,1847.1231386261,0.97741707853608,0.97723458413469,0.99981571212164,20000000,1.2057010280961e-06,4.0379384188844e-06,9.1956031262287e-07,1.0000000000008,0.74578959715913,0.74578959715913,0.65452595002798,0.65452595002798,0.74578959715913,0.68016873915955,0.68016873915955,0.68016873915955,0.76612118488466,0.76612118488466,0.76612118488466,0.65452595002798,5.1287086101016e-07,6.0683771857983e-21,1.1658210194604e-19,-3.049858427117e-09,-5.7367116232013e-09,-7.3888658863041e-11,-4.0261591795058e-25,-2.5435901600674e-09,-9.1104297579202e-11,-3.8953238828621e-23,-6.8100574515755e-09,5.9205788328031e-07,334.46831856519,334.46831856519,334.37705491806,334.37705491806,334.46831856519,334.4026977072,334.4026977072,334.4026977072,334.48865015292,334.48865015292,334.48865015292,334.37705491806,1.7096014735199e-07,0.0015674006302473,0.00096673499330072,0.0013740086436786,205.41361136586,6.5630138108105e-08,3.7684110673953e-07,-1.8446601224364e-08,205.41360176587,6.3385463889206e-07,1.3906864513176e-07,3.2043634354832e-10,7.5769006478073e-18,0,0,6.5336019118757e-11,1.2361108234334e-10,1.6668846875179e-13,0,3.2444735155114e-18,7.7049131467986e-13,0,1.2041302690781e-18,5.6329285220908e-17,1.2541168833678e-17,0,0,1.0807477702582e-10,2.0446619786196e-10,2.7578808953715e-13,0,5.3697238586198e-18,1.2747183710663e-12,0,1.9929630721651e-18,9.3226421727999e-17
1.5e-05,1801.4287269424,1862.5592451271,1847.1231384606,0.97741707853608,0.97723458413469,0.99981571212164,20000000,1.3152260550302e-06,4.4050345844616e-06,1.0031661147107e-06,1.0000000000046,0.74578959710332,0.74578959710332,0.65452594997015,0.65452594997015,0.74578959710332,0.68016873914296,0.68016873914296,0.68016873914296,0.76612118487092,0.76612118487092,0.76612118487092,0.65452594997015,2.9283172866753e-06,3.4782969626443e-20,6.6816740129766e-19,-1.7394992445425e-08,-3.2722981609894e-08,-4.2114298691398e-10,-2.3033399271884e-24,-1.45063413799e-08,-5.1931826183781e-10,-2.2290729995051e-22,-3.8848164269476e-08,3.3806073809631e-06,334.46831856514,334.46831856514,334.37705491801,334.37705491801,334.46831856514,334.40269770718,334.40269770718,334.40269770718,334.48865015291,334.48865015291,334.48865015291,334.37705491801,1.1544376041582e-06,0.0017098386113516,0.00105460807711,0.0014988203223543,224.15348464361,3.1779588766859e-08,2.6277680312321e-07,-1.4397159719488e-08,224.15347213051,5.672277492704e-07,1.2270898986578e-07,1.8891276817716e-09,4.3125353932392e-17,0,0,3.7328631357893e-10,7.0630504300181e-10,9.5105229040188e-13,0,1.8476401366072e-17,4.3975159411617e-12,0,6.8554888838421e-18,3.2079294841457e-16,7.3529629247006e-17,0,0,6.3598134433739e-10,1.2033323688476e-09,1.6207791371495e-12,0,3.1499301254368e-17,7.4937450558092e-12,0,1.1688088428393e-17,5.4689616008954e-16
1.625e-05,1801.4287263798,1862.5592437952,1847.1231375158,0.97741707853608,0.97723458413469,0.99981571212164,20000000,1.4247386907116e-06,4.7721325505085e-06,1.0867734535221e-06,1.0000000000234,0.74578959678472,0.74578959678472,0.65452594963997,0.65452594963997,0.74578959678472,0.68016873904824,0.68016873904824,0.68016873904824,0.76612118479251,0.76612118479251,0.76612118479251,0.65452594963997,1.4544509909133e-05,1.7343315038805e-19,3.3312690809316e-18,-8.6305755257087e-08,-1.6237294995096e-07,-2.0881058424133e-09,-1.1462950564972e-23,-7.1968028239866e-08,-2.575131824821e-09,-1.1096241651745e-21,-1.927796496852e-07,1.6791757509972e-05,334.46831856482,334.46831856482,334.37705491768,334.37705491768,334.46831856482,334.40269770708,334.40269770708,334.40269770708,334.48865015283,334.48865015283,334.48865015283,334.37705491768,6.6033296441938e-06,0.0018522677878907,0.001142479191352,0.0016236156523709,242.90435883999,4.6300061019929e-08,-1.2988701943588e-07,-8.5488761117532e-09,242.90434288137,2.5503772546794e-07,3.6303563939514e-08,9.7004190200586e-09,2.135231600077e-16,0,0,1.8552486999455e-09,3.5107341511953e-09,4.7203461733811e-12,0,9.1529666979625e-17,2.1833216396323e-11,0,3.3952731222797e-17,1.5892293948118e-15,3.7549697801065e-16,0,0,3.2596992173754e-09,6.1682602193544e-09,8.296356714641e-12,0,1.6094179765645e-16,3.8370575793716e-11,0,5.970450140328e-17,2.7944059239543e-15
1.75e-05,1801.4287235853,1862.5592371795,1847.1231328228,0.97741707853608,0.97723458413469,0.99981571212164,20000000,1.5342389038177e-06,5.1392323164086e-06,1.1703823403433e-06,1.0000000001064,0.74578959520231,0.74578959520231,0.65452594799997,0.65452594799997,0.74578959520231,0.68016873857783,0.68016873857783,0.68016873857783,0.76612118440306,0.76612118440306,0.76612118440306,0.65452594799997,6.4155125963394e-05,7.6797932817289e-19,1.474978463931e-17,-3.8028277399477e-07,-7.1552675155221e-07,-9.1944761191465e-09,-5.0662513847037e-23,-3.1708281634629e-07,-1.1340099669524e-08,-4.905450716388e-21,-8.4957797678198e-07,7.4071113873521e-05,334.46831856324,334.46831856324,334.37705491604,334.37705491604,334.46831856324,334.40269770661,334.40269770661,334.40269770661,334.48865015244,334.48865015244,334.48865015244,334.37705491604,3.2856832809715e-05,0.0019946881653642,0.0012303483467683,0.0017483946380373,261.6662319349,8.7882398736452e-08,-1.0678097826942e-07,1.4700759223621e-08,261.66621202524,-6.3532901316773e-08,4.1208103201147e-08,4.4243292215621e-08,9.3887680578897e-16,0,0,8.1886579619008e-09,1.5497243227795e-08,2.0806231880982e-11,0,4.026772594038e-16,9.6267150633458e-11,0,1.4933504569646e-16,6.9919659004996e-15,1.7032692901549e-15,0,0,1.484021036473e-08,2.8084671771496e-08,3.7720812022606e-11,0,7.3041343916453e-16,1.7451288583057e-10,0,2.7089614836482e-16,1.2682538928091e-14
