time,H_1,H_2,H_3,Hs_1,Hs_2,Hs_3,cry_1,cry_2,cry_3,disloc_density,disloc_density_m,disp_x,disp_y,disp_z,fp_yy,mesh_quality,mesh_quality_m,sliprate,sliprate_m,strain_eff,strain_shear,strain_shear_m,strain_yy,stress_vm,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,total_twin_volume
1e-05,1733333333.3333,1733333333.3333,1733333333.3333,1155555555.5556,1155555555.5556,1155555555.5556,1,1,1,20000000,20000000,5.9250228817587e-07,1.4694122797101e-06,5.612611990479e-07,1,3.375e-12,3.375e-12,0,0,0.001120979959844,0.00068301345903543,0.00076382693561657,0.0009994988402338,138.92247725641,1.2857683950106,-0.15466788470252,0.075976331593786,140.28298486416,-0.0077284756467094,1.5613038582047,2.2681495358288e-31
2e-05,1733333333.3333,1733333333.3333,1733333333.3333,1155555555.5556,1155555555.5556,1155555555.5556,1,1,1,20000000,20000000,1.1818824875379e-06,2.9379554241847e-06,1.1199361477268e-06,1.0000000000044,3.375e-12,3.375e-12,3.7156740309894e-14,4.8494150377824e-13,0.0022436515488586,0.0013640680303265,0.0014543679689465,0.0019979997895456,278.76221370459,1.296098407924,-0.26694085285485,0.053346862920189,280.17622335347,-0.036024279979098,1.6096490285577,1.0926310447117e-24
3e-05,1733333333.3047,1733333333.3047,1733333333.3047,1155555555.5269,1155555555.5269,1155555555.5269,1,1,1,20000000.013886,20000000.064044,1.7713296883409e-06,4.4075201673294e-06,1.6777437278898e-06,1.0000001058742,3.375e-12,3.375e-12,1.0773860151595e-06,4.9690449627951e-06,0.0033679783240566,0.0020438546324834,0.0020855892065853,0.0029955049417796,419.53138836632,0.16425242073141,-0.27903776587179,-0.006389123995563,419.78688553038,-0.018761038442912,0.35606569738349,1.4928093833847e-21
4e-05,1733332642.9275,1733332642.9275,1733332642.9275,1155554865.1498,1155554865.1498,1155554865.1498,1,1,1,20000334.248548,20000604.051626,2.3790622074122e-06,5.8755331470145e-06,2.2469882237306e-06,1.0000831235333,3.375e-12,3.375e-12,0.025932693921624,0.046862999291462,0.0044969365993271,0.0027321447005885,0.0027976937655406,0.0039920159235884,548.8444839613,0.28682135434909,-0.17441905330635,0.016434913629069,549.16875320925,-0.021116550918784,0.3705489707044,2.9499786682142e-19
5e-05,1732790884.8843,1732790884.8843,1732790884.8843,1155013107.1066,1155013107.1066,1155013107.1066,1,1,1,20262404.22073,20384279.84708,3.1649369615368e-06,7.348818859291e-06,2.9438848511142e-06,1.0007418087915,3.375e-12,3.375e-12,20.333454057989,29.769917129525,0.0056769760284728,0.003485285680613,0.0038543224958778,0.0049875334356138,596.63876652718,0.77895690429705,-0.069355761288507,0.13971927985136,597.44457556993,0.09720724014958,0.93536246345014,1.9826052965344e-18
6e-05,1728489630.5952,1728489630.5952,1728489630.5952,1150711852.8174,1150711852.8174,1150711852.8174,1,1,1,22348728.050086,23515374.848615,4.0532394969026e-06,8.8233856509358e-06,3.7660935158474e-06,1.0016749753606,3.375e-12,3.375e-12,161.22652205079,244.59332967365,0.0068867228121384,0.0042666525954167,0.0049524342097424,0.005982061396093,605.59781039116,0.58468445866099,-0.05583179575928,0.13333606119688,606.17154737894,0.10258352818509,0.68966395945543,4.5111386999329e-18
7e-05,1722422329.7288,1722422329.7288,1722422329.7288,1144644551.951,1144644551.951,1144644551.951,1,1,1,25389998.631471,27604427.603652,4.9451637929962e-06,1.0298003064474e-05,4.5894654076673e-06,1.0026455859374,3.375e-12,3.375e-12,228.20388975191,309.62010727844,0.0081021373488512,0.0050511797138278,0.0060515791327356,0.0069756020901176,609.17488327245,0.53727558484492,-0.038004744765212,0.12118211962033,609.69433266981,0.10141933121701,0.63764873591104,7.5884255331203e-18
8e-05,1716152195.7447,1716152195.7447,1716152195.7447,1138374417.967,1138374417.967,1138374417.967,1,1,1,28665583.260626,31975162.859243,5.8371418305107e-06,1.1772068261774e-05,5.4077151914063e-06,1.0036163364591,3.375e-12,3.375e-12,237.13724590522,309.65411178203,0.0093184939539533,0.0058350319132929,0.0071351995021405,0.0079681574988886,612.70596011127,0.54194880133905,-0.054349421399669,0.11930785707279,613.22982586156,0.10065336874076,0.64444440171011,1.1224107055475e-17
9e-05,1709923646.0161,1709923646.0161,1709923646.0161,1132145868.2384,1132145868.2384,1132145868.2384,1,1,1,32043116.880023,36403017.302876,6.7411522040245e-06,1.3248259563033e-05,6.2441021062397e-06,1.0045870695775,3.375e-12,3.375e-12,236.94855364976,302.76141851091,0.010534951910432,0.0066191541803453,0.0082369810183096,0.0089597265743094,616.16293503955,0.81860641428395,-0.025695183209007,0.13504803662857,616.97453536715,0.11149623026033,0.9638672812008,1.5448148345042e-17
0.0001,1703737909.538,1703737909.538,1703737909.538,1125960131.7602,1125960131.7602,1125960131.7602,1,1,1,35508224.377626,41091710.329105,7.6278097370511e-06,1.4720797735633e-05,7.0511084377632e-06,1.0055584011986,3.375e-12,3.375e-12,236.71973192472,311.88812619612,0.011752042751065,0.007402296634284,0.0092883604599322,0.009950317760927,619.66384143979,0.55835403060831,-0.055907331451262,0.11078479096848,620.20103072979,0.10143571104198,0.65805468353663,2.0318532513271e-17
