time,H_1,H_2,H_3,cry_1,cry_2,cry_3,disloc_density,disp_x,disp_y,disp_z,fp_yy,gd_0,gd_1,gd_10,gd_11,gd_2,gd_3,gd_4,gd_5,gd_6,gd_7,gd_8,gd_9,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_2,slip_increment_3,slip_increment_4,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,slip_resistance_0,slip_resistance_1,slip_resistance_10,slip_resistance_11,slip_resistance_2,slip_resistance_3,slip_resistance_4,slip_resistance_5,slip_resistance_6,slip_resistance_7,slip_resistance_8,slip_resistance_9,sliprate,strain_eff,strain_shear,strain_yy,stress_vm,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,total_twin_volume
7.8125e-08,808961146.99949,807795845.72178,808131896.16761,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,6.3576041101309e-09,2.34375e-08,6.6607071539323e-09,1,497.76848710314,497.76848710314,497.85318628787,497.85318628787,497.76848710314,498.31910513297,498.31910513297,498.31910513297,498.77299956964,498.77299956964,498.77299956964,497.85318628787,2.8206150722431e-54,9.5027400882751e-54,1.0525916404392e-53,-1.100941220262e-54,8.6543693788369e-55,-2.5903807263391e-54,8.1785354085517e-55,1.1635069230747e-54,-2.8704578185292e-53,-9.3092894286656e-54,-8.6314377533292e-54,5.7867712940134e-54,622.29101607117,622.29101607117,622.37571525591,622.37571525591,622.29101607117,622.841634101,622.841634101,622.841634101,623.29552853767,623.29552853767,623.29552853767,622.37571525591,0,8.9370988737197e-06,5.6780491026578e-06,7.8124661319312e-06,1.7426586426856,-2.3663569402811e-07,-3.2004184594987e-09,1.0020413944531e-08,1.6876298654321,-2.899637193101e-08,-3.0180064248786e-07,1e-06
2.34375e-07,808961146.99949,807795845.72178,808131896.16761,0.2913357762414,0.17305285692813,-0.065348243810965,20000000,1.8769561538109e-08,7.03125e-08,2.1174601039008e-08,1,497.76848710314,497.76848710314,497.85318628787,497.85318628787,497.76848710314,498.31910513297,498.31910513297,498.31910513297,498.77299956964,498.77299956964,498.77299956964,497.85318628787,9.8356623419186e-45,3.3137986510942e-44,3.6705810953085e-44,-3.8390924196475e-45,3.0183792203501e-45,-9.0334652495396e-45,2.851228897292e-45,4.0580099489153e-45,-1.0009721241074e-43,-3.246097813419e-44,-3.0096738305262e-44,2.0180081264372e-44,622.29101607117,622.29101607117,622.37571525591,622.37571525591,622.29101607117,622.841634101,622.841634101,622.841634101,623.29552853767,623.29552853767,623.29552853767,622.37571525591,1.885508639321e-48,2.6811139608599e-05,1.7034086217826e-05,2.3437195191166e-05,5.2281673168155,-2.1861705497115e-06,-1.1175686747993e-07,2.8080604568724e-09,5.0630827450055,5.9509585412261e-08,-2.6757145246549e-06,1e-06
5.46875e-07,808961146.99949,807795845.72178,808131896.16761,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,4.3591781443894e-08,1.640625e-07,5.0384452652789e-08,1,497.76848710314,497.76848710314,497.85318628787,497.85318628787,497.76848710314,498.31910513297,498.31910513297,498.31910513297,498.77299956964,498.77299956964,498.77299956964,497.85318628787,2.2511759634683e-37,7.5851886129792e-37,8.4017738716415e-37,-8.7870885819341e-38,6.9109204449951e-38,-2.0678615878685e-37,6.5227797032183e-38,9.2915243097154e-38,-2.2911320679283e-36,-7.4291336499546e-37,-6.8877610309162e-37,4.6193580381331e-37,622.29101607117,622.29101607117,622.37571525591,622.37571525591,622.29101607117,622.841634101,622.841634101,622.841634101,623.29552853767,623.29552853767,623.29552853767,622.37571525591,6.5746599341376e-39,6.2558593112191e-05,3.974591626613e-05,5.4685840506577e-05,12.199950189206,-1.1789194206091e-05,-3.5223851321397e-07,-3.6761352999524e-07,11.814761121836,3.5753356259432e-07,-1.4628306117375e-05,1e-06
8.59375e-07,808961146.99949,807795845.72178,808131896.16761,0.2913357762414,0.17305285692813,-0.065348243810965,20000000,6.7936311023421e-08,2.578125e-07,7.6145461426001e-08,1,497.76848710314,497.76848710314,497.85318628787,497.85318628787,497.76848710314,498.31910513297,498.31910513297,498.31910513297,498.77299956964,498.77299956964,498.77299956964,497.85318628787,1.8736568198719e-33,6.3965936847924e-33,7.0847960356683e-33,-7.4097605542261e-34,5.8299047270977e-34,-1.7438923843111e-33,5.4969882618972e-34,7.8357062017764e-34,-1.9320536192266e-32,-6.2638702970169e-33,-5.807567727832e-33,3.90022017386e-33,622.29101607117,622.29101607117,622.37571525591,622.37571525591,622.29101607117,622.841634101,622.841634101,622.841634101,623.29552853767,623.29552853767,623.29552853767,622.37571525591,1.5047125762657e-31,9.8305228720866e-05,6.2457382581348e-05,8.5933402206873e-05,19.172726330981,-2.9110912895683e-05,-1.5214194541096e-06,-1.8933628479625e-07,18.567467850881,1.0938223277998e-06,-3.6275433768757e-05,1e-06
1.171875e-06,808961146.99949,807795845.72178,808131896.16761,0.2913357762414,0.17305285692813,-0.065348243810965,20000000,9.1761833556915e-08,3.515625e-07,1.0320514701722e-07,1,497.76848710314,497.76848710314,497.85318628787,497.85318628787,497.76848710314,498.31910513297,498.31910513297,498.31910513297,498.77299956964,498.77299956964,498.77299956964,497.85318628787,9.2625522533697e-31,3.1624012281411e-30,3.5026652319074e-30,-3.6638826742607e-31,2.8829559437771e-31,-8.6216685957446e-31,2.7162393265771e-31,3.8751694288136e-31,-9.5584009543688e-30,-3.0963739253634e-30,-2.8707105139189e-30,1.9283334972653e-30,622.29101607117,622.29101607117,622.37571525591,622.37571525591,622.29101607117,622.841634101,622.841634101,622.841634101,623.29552853767,623.29552853767,623.29552853767,622.37571525591,1.268696513287e-27,0.00013405107046042,8.5168589495205e-05,0.00011717988037556,26.146542582794,-5.4332180949327e-05,-2.8240509620085e-06,-4.5151970132791e-07,25.321204156823,1.8261515260269e-06,-6.7293870142694e-05,1e-06
1.484375e-06,808961146.99949,807795845.72178,808131896.16761,0.2913357762414,0.17305285692813,-0.065348243810965,20000000,1.1421259053123e-07,4.453125e-07,1.338131130251e-07,1,497.76848710314,497.76848710314,497.85318628787,497.85318628787,497.76848710314,498.31910513297,498.31910513297,498.31910513297,498.77299956964,498.77299956964,498.77299956964,497.85318628787,1.047246014477e-28,3.5757943848899e-28,3.9604599132928e-28,-4.1465828328398e-29,3.2606347673149e-29,-9.7495400147882e-29,3.0697183608544e-29,4.383157353253e-29,-1.0894099190592e-27,-3.5001706962296e-28,-3.2453649170137e-28,2.1804692260313e-28,622.29101607117,622.29101607117,622.37571525591,622.37571525591,622.29101607117,622.841634101,622.841634101,622.841634101,623.29552853767,623.29552853767,623.29552853767,622.37571525591,6.271324974528e-25,0.00016979603440145,0.00010787948096517,0.00014842527510567,33.121377690766,-8.7245886099645e-05,-4.5486167530674e-06,-7.8528621091846e-07,32.075967026571,2.7364583446277e-06,-0.0001079851197263,1e-06
1.796875e-06,808961146.99949,807795845.72178,808131896.16761,0.2913357762414,0.17305285692813,-0.065348243810965,20000000,1.376421880756e-07,5.390625e-07,1.6179024185905e-07,1,497.76848710314,497.76848710314,497.85318628787,497.85318628787,497.76848710314,498.31910513297,498.31910513297,498.31910513297,498.77299956964,498.77299956964,498.77299956964,497.85318628787,4.7818404441696e-27,1.6328615682561e-26,1.8085837378289e-26,-1.8343554385835e-27,1.4894240221172e-27,-4.4522506270267e-27,1.4019461507118e-27,2.002323194928e-27,-4.9733879662873e-26,-1.5981730659415e-26,-1.4816914295363e-26,9.9586400039512e-27,622.29101607117,622.29101607117,622.37571525591,622.37571525591,622.29101607117,622.841634101,622.841634101,622.841634101,623.29552853767,623.29552853767,623.29552853767,622.37571525591,7.0898918148851e-23,0.00020553988614065,0.00013058992182546,0.00017966958647452,40.097188597885,-0.00012763682461716,-6.4716327939771e-06,-1.5521038607228e-06,38.831766017624,3.6282821805517e-06,-0.00015843411038962,1e-06
2.109375e-06,808961146.99949,807795845.72178,808131896.16761,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,1.6198063137827e-07,6.328125e-07,1.9003488401023e-07,1,497.76848710314,497.76848710314,497.85318628787,497.85318628787,497.76848710314,498.31910513297,498.31910513297,498.31910513297,498.77299956964,498.77299956964,498.77299956964,497.85318628787,1.3180324023383e-25,4.0324797856255e-25,4.4623866758898e-25,-4.5301749460946e-26,3.6817954492692e-26,-1.0988687351037e-25,3.1864045464895e-26,4.7927849961306e-26,-1.2281248004532e-24,-3.9444666520767e-25,-3.6600894327119e-25,2.4678023173909e-25,622.29101607117,622.29101607117,622.37571525591,622.37571525591,622.29101607117,622.841634101,622.841634101,622.841634101,623.29552853767,623.29552853767,623.29552853767,622.37571525591,3.2370968234538e-21,0.00024127977948854,0.00015329760126877,0.00021091281391239,47.072879719894,-0.00017598590575982,-8.7247547407043e-06,-1.889874675315e-06,45.588595081265,4.6647226862119e-06,-0.00021817450421266,1e-06
2.421875e-06,808961146.99949,807795845.72178,808131896.16761,0.2913357762414,0.17305285692813,-0.065348243810965,20000000,1.8369859628281e-07,7.265625e-07,2.2056500214721e-07,1,497.76848710314,497.76848710314,497.85318628787,497.85318628787,497.76848710314,498.31910513297,498.31910513297,498.31910513297,498.77299956964,498.77299956964,498.77299956964,497.85318628787,2.0870092955527e-24,6.3840647700562e-24,7.0701720012609e-24,-7.336713082813e-25,5.837245251503e-25,-1.7423065226816e-24,4.9790820311328e-25,7.6296594396079e-25,-1.9630504754776e-23,-6.2491730633328e-24,-5.7947600075337e-24,3.9215591660558e-24,622.29101607117,622.29101607117,622.37571525591,622.37571525591,622.29101607117,622.841634101,622.841634101,622.841634101,623.29552853767,623.29552853767,623.29552853767,622.37571525591,7.9918386237518e-20,0.0002770189703078,0.00017600529944173,0.00024215495824805,54.049886841612,-0.00023190387935237,-1.187654421643e-05,-2.4660132078354e-06,52.346448837868,6.3283732853771e-06,-0.00028765353387651,1e-06
2.734375e-06,808961146.99949,807795845.72178,808131896.16761,0.2913357762414,0.17305285692813,-0.065348243810964,20000000,2.1105989380477e-07,8.203125e-07,2.4675038469518e-07,1,497.76848710314,497.76848710314,497.85318628787,497.85318628787,497.76848710314,498.31910513297,498.31910513297,498.31910513297,498.77299956964,498.77299956964,498.77299956964,497.85318628787,2.3643890701127e-23,7.2334625688123e-23,8.0094544190542e-23,-8.32748920176e-24,6.6148697400283e-24,-1.9743564921578e-23,5.5959141651076e-24,8.6434882779145e-24,-2.2605971874042e-22,-7.0861033129542e-23,-6.5634444435716e-23,4.4439666519081e-23,622.29101607117,622.29101607117,622.37571525591,622.37571525591,622.29101607117,622.841634101,622.841634101,622.841634101,623.29552853768,623.29552853768,623.29552853768,622.37571525591,1.2657898155121e-18,0.0003127593175392,0.0001987140875933,0.00027339601965737,61.028453490201,-0.0002955373653338,-1.5056572046106e-05,-3.3811950970221e-06,59.105319403584,8.0276926362697e-06,-0.00036667318411908,1e-06
