time,H_1,H_2,H_3,Hs_1,Hs_2,Hs_3,cry_1,cry_2,cry_3,disloc_density,disp_x,disp_y,disp_z,fp_yy,gd_0,gd_1,gd_10,gd_11,gd_2,gd_3,gd_4,gd_5,gd_6,gd_7,gd_8,gd_9,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_2,slip_increment_3,slip_increment_4,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,slip_resistance_0,slip_resistance_1,slip_resistance_10,slip_resistance_11,slip_resistance_2,slip_resistance_3,slip_resistance_4,slip_resistance_5,slip_resistance_6,slip_resistance_7,slip_resistance_8,slip_resistance_9,sliprate,strain_eff,strain_shear,strain_yy,stress_vm,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,surface_react_y,total_twin_volume,twin_slip_increment_0,twin_slip_increment_1,twin_slip_increment_10,twin_slip_increment_11,twin_slip_increment_2,twin_slip_increment_3,twin_slip_increment_4,twin_slip_increment_5,twin_slip_increment_6,twin_slip_increment_7,twin_slip_increment_8,twin_slip_increment_9,twin_twin_system_volume_fraction_0,twin_twin_system_volume_fraction_1,twin_twin_system_volume_fraction_10,twin_twin_system_volume_fraction_11,twin_twin_system_volume_fraction_2,twin_twin_system_volume_fraction_3,twin_twin_system_volume_fraction_4,twin_twin_system_volume_fraction_5,twin_twin_system_volume_fraction_6,twin_twin_system_volume_fraction_7,twin_twin_system_volume_fraction_8,twin_twin_system_volume_fraction_9
0.01,0,0,0,0,0,0,1,1,1,20000000,1.2761785044523e-07,2.9765394593744e-07,1.2941174282638e-07,1.0000002693796,0,0,0,0,0,0,0,0,0,0,0,0,5.6625324652336e-06,-1.6926486694763e-11,-6.0712699626543e-11,-4.7666452163465e-05,-2.4040556014478e-05,-1.816344799165e-05,1.9945803056534e-10,-5.9668068715656e-05,-3.169473534265e-05,1.101490325296e-10,-6.1076304410951e-05,8.3161922054448e-06,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,0,0.00011701450338681,7.3672219241484e-05,9.9994044892941e-05,15.120373834794,-0.11847024442194,-0.15943787660738,-0.0043348353663803,13.810725015298,-0.038889501740078,-0.019159632270157,0,5.7268400667534e-57,2.72424308877e-60,6.7952211736934e-100,6.2330988278261e-65,2.3164499780984e-62,1.4550279324492e-62,3.7413716378699e-60,9.0301333073563e-67,3.0979428558071e-60,1.38849998249e-61,7.6457127838374e-132,2.4987758753629e-60,2.1660482468884e-63,5.7337790442102e-60,9.6098939431621e-100,8.81493505143e-65,3.2759795917027e-62,2.057755641848e-62,6.1862278316928e-60,1.2770537026249e-66,4.3865078957724e-60,2.0754090437285e-61,1.0812670712912e-131,3.5582024242417e-60,3.2167015436016e-63
0.02,0,0,0,0,0,0,1,1,1,28997433.685627,2.6549047852922e-07,5.9075941651086e-07,2.6695782453249e-07,1.0000085693182,0,0,0,0,0,0,0,0,0,0,0,0,0.00023304559364985,-9.268528956225e-10,-2.3231371251647e-10,-0.00026259426849253,-0.00022917681209627,-0.0002475314467474,6.6742090957688e-09,-0.00028283801351388,-0.00026642842922711,3.7545774175895e-09,-0.00030609665785114,0.00023702320823719,43.731467034663,43.731467034663,43.731467034663,43.731467034663,43.731467034663,43.731467034663,43.731467034663,43.731467034663,43.731467034663,43.731467034663,43.731467034663,43.731467034663,0.037415177199156,0.00023111766111048,0.00014519591376121,0.00019997766872481,27.905081896018,-1.1473818225918,-0.11369282427033,0.018543339325674,25.818092451049,-0.063449953100146,-1.0384339910968,0,3.7902309201126e-46,2.6800488684646e-49,0,1.7805727306157e-64,8.2349538204383e-60,8.9157820513949e-61,1.5647291749345e-59,1.4691686983509e-65,7.6515305775371e-59,4.9117309495515e-54,0,5.1764115614269e-59,2.1288836247252e-59,3.7901614576627e-49,9.6098939431621e-100,5.2200787888167e-64,1.1678778388326e-59,1.2814790421274e-60,3.9814451546195e-59,3.2034423496815e-65,1.125956999212e-58,6.9462367456782e-54,1.0812670712912e-131,7.6763762339265e-59,3.01102294896e-59
0.03,0,0,0,0,0,0,1,1,1,36518416.929949,4.2359504310274e-07,8.8303361165937e-07,4.2317774295145e-07,1.0000430872949,0,0,0,0,0,0,0,0,0,0,0,0,0.00094293932530691,-9.0781399186676e-08,4.8322472909586e-09,-0.0010863436696317,-0.0010414193736625,-0.0010769534186383,4.1817973608533e-07,-0.0010508083712078,-0.0011223268577204,2.173451172832e-07,-0.0011440104748827,0.00099129652744743,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,0.043405022096736,0.0003470531980001,0.00021789402782752,0.00029994908722146,36.737662055548,-0.83200448830698,-0.014125455972105,0.0052936636529386,35.148517331848,-0.04362172959421,-0.73307275831141,0,4.4834186761259e-46,4.8858989262655e-50,0,4.3755970676258e-67,2.5733739448037e-57,2.3385133587498e-56,2.8965831921352e-56,2.5435708805043e-67,1.0917203392602e-55,1.6148768912926e-52,0,3.9637824902211e-56,2.0542354921056e-56,4.4811319102536e-49,9.6098939431621e-100,5.3356299447204e-64,3.65097911235e-57,3.3072856712479e-56,4.100408014269e-56,3.6317712998791e-65,1.5450516944392e-55,2.3532431692119e-52,1.0812670712912e-131,5.6133113323799e-56,2.9081387161953e-56
0.04,0,0,0,0,0,0,1,1,1,53053645.313594,6.0760606981296e-07,1.1733988078472e-06,6.0250508641908e-07,1.0001026906119,0,0,0,0,0,0,0,0,0,0,0,0,0.0016553867797648,-1.1871883289213e-06,-2.9875564468074e-06,-0.0018966228861715,-0.001783623068226,-0.0018358531993128,-1.038641614886e-07,-0.0018276545874682,-0.0019232032832202,-6.214216666233e-07,-0.0019497887278664,0.0017567853256723,44.089819296341,44.089819296341,44.089819296341,44.089819296341,44.089819296341,44.089819296341,44.089819296341,44.089819296341,44.089819296341,44.089819296341,44.089819296341,44.089819296341,0.053534251517677,0.00046653471414369,0.00029357801924347,0.00039990665761604,42.184985618254,-0.58977040792725,0.02226983966131,-0.0042615693645168,40.960139064174,-0.036672049281007,-0.43823978647702,0,9.6456647730614e-44,6.8204477884766e-47,0,1.6023262641185e-66,2.0925568618282e-53,2.1403220033788e-53,5.8552456599362e-54,1.6646478985092e-66,4.0031579135545e-50,5.0705620049548e-53,0,1.5360822383886e-50,2.0596003782822e-52,9.6903811039923e-47,9.6098939431621e-100,5.3693636070359e-64,2.9600118132732e-53,3.0304397614497e-53,8.3216017858486e-54,3.967579766764e-65,5.6613387888056e-50,3.070329234655e-52,1.0812670712912e-131,2.1723558012286e-50,2.9131513474626e-52
0.05,0,0,0,0,0,0,1,1,1,60697384.69018,7.9351527318804e-07,1.4637824149496e-06,7.8901552196201e-07,1.0001782819141,0,0,0,0,0,0,0,0,0,0,0,0,0.0021455628584591,-2.014819222013e-08,1.3180381318259e-07,-0.0023955567828936,-0.0022604891401838,-0.0023075425797287,-6.277895365152e-07,-0.0023087392934499,-0.0024034801312458,-8.3877066917785e-07,-0.0024350853174503,0.0022633563079271,44.633915259911,44.633915259911,44.633915259911,44.633915259911,44.633915259911,44.633915259911,44.633915259911,44.633915259911,44.633915259911,44.633915259911,44.633915259911,44.633915259911,0.060606830558969,0.00058739142298003,0.00037030356772213,0.00049984930568393,45.306840383721,-0.19511967403098,0.036665573274809,-0.003112209505159,44.638598294688,-0.041828969331639,-0.04583451720762,0,1.5958471100867e-43,4.6539884854465e-47,0,1.0300624410531e-69,7.6150046496808e-52,4.2427730037429e-51,1.1068177713474e-52,8.388776235324e-70,3.6886528660732e-48,9.6316511681587e-52,0,6.4736706053209e-50,1.0408676337068e-50,1.6272114740409e-46,9.6098939431621e-100,5.3700692894178e-64,1.1065333759759e-51,6.0305061051277e-51,1.6494815395778e-52,3.9737567740362e-65,5.2731563586003e-48,1.6692594480357e-51,1.0812670712912e-131,1.1327510364582e-49,1.5011428238413e-50
0.06,0,0,0,0,0,0,1,1,1,67229562.479659,9.809022350687e-07,1.7545895699799e-06,9.7674596192969e-07,1.0002636632491,0,0,0,0,0,0,0,0,0,0,0,0,0.002433516100886,6.0288301885888e-10,1.0450737498203e-07,-0.0026786726713219,-0.0025881085316874,-0.0025933395502942,-8.3280756555088e-07,-0.0025861636218435,-0.0026886298488841,-9.9653061620688e-07,-0.0027532063531668,0.0025506484133748,45.166260390158,45.166260390158,45.166260390158,45.166260390158,45.166260390158,45.166260390158,45.166260390158,45.166260390158,45.166260390158,45.166260390158,45.166260390158,45.166260390158,0.0653878991563,0.00070961779123464,0.00044836498805081,0.0005997777328421,47.151662216208,0.063713420702923,0.020997248800889,0.00098914363852393,46.85485145628,-0.046728952170697,0.20565025268956,0,2.104424737522e-43,8.0920264515351e-47,0,1.6946917103737e-78,7.6806270821341e-51,4.5345266596937e-51,3.8833773553917e-50,2.6404701750885e-78,7.3124972909854e-48,1.0308837242829e-49,0,3.8255895692385e-49,7.6082296786944e-50,2.7715968295562e-46,9.6098939431621e-100,5.3700692909641e-64,1.1968589742147e-50,1.2443308544123e-50,5.5084361596384e-50,3.9737567932418e-65,1.561458925159e-47,1.474584169656e-49,1.0812670712912e-131,6.5429518486013e-49,1.2260806378005e-49
0.07,0,0,0,0,0,0,1,1,1,67628868.132566,1.168958740516e-06,2.0453089161952e-06,1.1636106051605e-06,1.000355206028,0,0,0,0,0,0,0,0,0,0,0,0,0.0026232510274036,3.0015471560693e-08,6.4560315538547e-08,-0.0028512283868111,-0.002790816987779,-0.0027750280639449,-6.4552297700888e-07,-0.0027639962167382,-0.0028771390643368,-7.3190749540368e-07,-0.0029489276625254,0.0027347929953528,45.508823209875,45.508823209875,45.508823209875,45.508823209875,45.508823209875,45.508823209875,45.508823209875,45.508823209875,45.508823209875,45.508823209875,45.508823209875,45.508823209875,0.065216400145413,0.00083280894135916,0.00052735149636999,0.00069969253898345,48.216454225373,0.1350988641354,0.014968280476128,0.0036611590445211,48.077017936566,-0.047491766948855,0.26655281267832,0,2.3137663605382e-43,5.3736242722034e-47,0,1.603871803057e-95,4.3421859697175e-48,5.7429625558477e-51,3.6225265889891e-47,2.1230804204494e-95,5.6811967621033e-48,1.5786481587997e-49,0,1.1897466231066e-47,1.3191489058478e-49,3.531542062059e-46,9.6098939431621e-100,5.3700692909641e-64,6.1527468868553e-48,2.0565092889259e-50,5.1285346875422e-47,3.9737567932418e-65,2.3649014809755e-47,3.7071321337502e-49,1.0812670712912e-131,1.7479853309059e-47,3.0916390585928e-49
0.08,0,0,0,0,0,0,1,1,1,76796079.855948,1.3561070663298e-06,2.3381082414225e-06,1.4774077793386e-06,1.0004506361936,0,0,0,0,0,0,0,0,0,0,0,0,0.0026815977307243,1.4663899849992e-05,-3.771993795235e-07,-0.0030674116173793,-0.0028609949165863,-0.0029017938306223,-1.585394073287e-06,-0.0029720446780847,-0.0029897495278899,1.0300848563151e-05,-0.0030348932065144,0.0028246841367389,45.84305890045,45.84305890045,45.84305890045,45.84305890045,45.84305890045,45.84305890045,45.84305890045,45.84305890045,45.84305890045,45.84305890045,45.84305890045,45.84305890045,0.064843271920725,0.00095685693006953,0.00060692013791705,0.00079959152164767,48.908314797497,0.1002973928818,-0.048087031684859,0.0047124433467425,48.684134681572,0.066431402720572,0.22856895225721,0,3.8559294642e-36,1.8057469443659e-45,0,0,7.2180911418369e-40,2.0750015324039e-49,1.6634052652269e-47,0,3.0492510048258e-48,1.0819658548653e-49,1.9905477145339e-92,1.2299799213364e-39,1.2340102076617e-48,2.9068672935066e-45,9.6098939431621e-100,5.3700692909641e-64,1.3985880147277e-39,3.1401977284048e-49,7.4809467384552e-47,3.9737567932418e-65,2.7961307077302e-47,5.2372655835321e-49,2.8150595744446e-92,2.457437037541e-39,2.0543178824211e-48
0.09,0,0,0,0,0,0,1,1,1,98843202.530242,1.5412584265352e-06,2.6288327898096e-06,1.5619624487927e-06,1.0005460374779,0,0,0,0,0,0,0,0,0,0,0,0,0.0027423462729955,2.2138758927798e-08,-1.2753225062439e-05,-0.0029838502036699,-0.0029110921828527,-0.0028632799077734,-4.9999082478068e-07,-0.002873700074684,-0.002965198657745,2.6228195128916e-06,-0.0030917546526974,0.0028714608674736,46.197268490055,46.197268490055,46.197268490055,46.197268490055,46.197268490055,46.197268490055,46.197268490055,46.197268490055,46.197268490055,46.197268490055,46.197268490055,46.197268490055,0.18611490550528,0.0010801163951305,0.00068583568198803,0.00089948085362411,49.419063098629,0.21180202218942,-0.0048815525321171,-0.0055498099485988,49.399574397403,-0.011330154501004,0.33114345113114,0,3.8574615576918e-36,4.1793839780155e-47,0,1.6286931308056e-64,1.6380681398827e-46,4.3816246494402e-49,4.6466112822047e-47,0,1.284224577753e-48,8.399262156706e-49,0,1.1779869214127e-47,3.3188654919029e-48,2.9659727441219e-45,9.6098939431621e-100,7.6733893173054e-64,1.3987989722547e-39,9.3367507778936e-49,1.4052247463658e-46,3.9737567932418e-65,2.9777474967231e-47,1.7115618909286e-48,2.8150595744446e-92,2.4587588776959e-39,6.7479024749191e-48
0.1,0,0,0,0,0,0,1,1,1,99389005.541079,1.7223747133805e-06,2.9194538234624e-06,1.7250177954174e-06,1.0006421699905,0,0,0,0,0,0,0,0,0,0,0,0,0.0027779854406909,1.3368700009649e-07,-2.160698714057e-06,-0.0030019556438576,-0.0029386481676232,-0.0028937131496974,-3.1686224658844e-07,-0.0028942351627685,-0.0029858758113237,4.7484971996608e-07,-0.0030958247169249,0.0028963755094173,46.532531597547,46.532531597547,46.532531597547,46.532531597547,46.532531597547,46.532531597547,46.532531597547,46.532531597547,46.532531597547,46.532531597547,46.532531597547,46.532531597547,0.065854092584859,0.0012037797305003,0.00076506956110565,0.00099935690016439,49.918382929224,0.18873540029334,0.00075908685512097,-0.0079996600715536,49.917423683064,-0.017976574327428,0.30363271798556,0,3.8574615576995e-36,1.1611483117576e-43,0,1.0202586292693e-63,4.7646989993916e-47,4.5489660604126e-49,1.1007757151856e-46,0,1.8121474039264e-48,1.7312772945236e-48,0,3.3821089417543e-44,4.4193421694427e-48,1.6717714178732e-43,9.6098939431621e-100,2.2102025223713e-63,1.3987990396377e-39,1.5769960275571e-48,2.9619566938488e-46,3.9737567932418e-65,3.234023840292e-47,4.1599580075041e-48,2.8150595744446e-92,2.4588067079392e-39,1.2997796108786e-47
